start,end,text
222.22000000000003,225.02, but you will have the chance to find another wife.
225.02,226.86, There are many women in the world.
226.86,230.98000000000002," You find one and you call her Erlun after my name,"
230.98000000000002,233.66000000000003, and you remember me when you're with her.
233.66000000000003,236.22000000000003, It was a very dramatic moment.
236.22000000000003,240.26000000000002," And he rode away, and he looked back and forth,"
240.26000000000002,242.14000000000001," and it said that the pig tails,"
242.14000000000001,244.34, or the braids that were hanging down
244.34,247.78000000000003, were whipping back and forth from his chest to his back.
247.78000000000003,252.24," He was divided, obviously, in whether he should go or stay."
252.24,254.58," But the three men were approaching again,"
254.58,257.18, and they were headed straight for the cart this time.
257.18,261.42, And they came in and they took Erlun.
262.46000000000004,267.46000000000004, She didn't say a word until her husband was over the ridge.
267.7,269.02000000000004, And when he was over the ridge
269.02000000000004,270.94," and she could no longer see him,"
270.94,273.7, she began to scream and wail.
273.7,275.58000000000004," And one of the brothers said to her,"
276.54,279.74," doesn't matter if you shake the waters out of the river,"
279.74,282.54," and if you shake the mountains with your screaming,"
282.54,285.34000000000003, you will never see this man again.
285.34000000000003,287.18, And he was right.
287.18,290.62, That was the moment that Genghis Khan's mother
290.62,292.66, and father met.
292.66,296.22, That's the beginning of his story in this kidnapping.
296.22,298.02000000000004, And it's gonna reverberate.
298.02000000000004,302.54," Every detail of it will come back again and again,"
302.54,305.68," not only throughout the story of the life of Genghis Khan,"
305.68,308.38, but it's gonna continue on with the feuds
308.38,312.46000000000004, and the issues caused by it all the way into the future.
313.29999999999995,314.9," And to some extent in certain parts of the world,"
314.9,317.14, you could say it still exists.
317.14,322.14, So the meeting is fundamentally sort of a mixture
322.78,327.78, of heartbreak and dark criminal type of kidnapping.
328.5,332.03999999999996, And from that is conceived this conqueror
332.03999999999996,335.5, of the biggest contiguous empire in history.
335.5,340.09999999999997, What I was really interested in was how did this happen?
340.09999999999997,342.14, Who was this person?
342.5,345.38," As Wordsworth wrote in his poem,"
345.38,347.9," the child is father of the man,"
347.9,350.26, and it's the childhood that created him.
350.26,354.08," And it's that episode that was before he was born,"
354.08,357.62, but all the things that happened throughout his childhood
357.62,360.5, made him into the man that he became.
360.5,365.5, And so he was now suddenly this unusual situation
367.46,370.62, was created where a child is going to be born
370.62,373.62, to a kidnapped woman who is being held
373.62,375.82," by strange people, the Mongols."
375.82,377.18, They were not her people.
378.78000000000003,382.62, And he already had another wife or husband.
382.62,384.26, He had a wife named Sochigul.
384.26,386.28000000000003, He had at that time already one son.
386.28000000000003,388.7, Later he had another son with her.
388.7,390.94, It was a very odd situation.
390.94,394.48," And in fact, the father, Yasuke wasn't even there"
394.48,396.42, when Temujin was born.
396.42,398.7, He was off fighting the Tatars
398.7,400.86, and doing this campaign against the Tatars.
400.86,403.26, He killed two Tatars.
403.26,405.8," One of them was named Temujin Uge,"
405.8,408.94," which is sort of person of iron,"
408.94,410.8, is what it means from the Turkic.
411.65999999999997,414.59999999999997," But today, a part of also Mongolian language."
415.86,418.5," So he came back, he had a baby,"
418.5,421.52," and he decided to name him Temujin,"
421.52,424.46, the person of iron or iron man we might call him.
424.46,425.8, After the man he killed.
425.8,427.48, After the man he killed.
427.48,430.46000000000004, So he's a kidnapped mother.
430.46000000000004,433.40000000000003, She's a second wife now.
433.40000000000003,436.88," Not a legal wife, but just a second kidnapped wife."
436.88,441.88, And he's named for someone his father just killed.
442.0,444.52000000000004, It was not auspicious beginning.
444.52000000000004,449.34000000000003," And in fact, just episode after episode in his childhood"
449.34000000000003,450.90000000000003, was inauspicious.
451.84000000000003,454.6, The father and mother moved camp one time
454.6,455.6, when he was quite young.
455.6,459.42, And somehow they overlooked him and forgot him.
459.42,461.48, He was left behind.
461.48,462.78000000000003, So here's this young child.
462.78000000000003,463.62," We don't know what age,"
463.62,466.22," but it could be around four or five, I think."
466.22,467.70000000000005, He was left behind.
467.70000000000005,470.76000000000005," And as it turned out, some other people,"
470.76000000000005,474.02000000000004, the Taichut found him and then they kept him for a while.
474.02000000000004,478.14000000000004, And eventually he was reunited with his father and mother.
478.14000000000004,483.14000000000004, And it's very odd to me that I never have any inkling
484.03999999999996,487.62, of a spark of relationship much between the father
487.62,488.59999999999997, and the son.
490.09999999999997,494.14," Because then when Timuchin is eight years old,"
494.14,497.7, his father decides to take him off to find a wife.
497.7,500.12, Which finding a wife in the Mongolian terms means
500.12,501.74," you give the child to that family,"
501.74,503.53999999999996, or you give the boy to that family
503.53999999999996,506.14, and he will live with them and they will raise him up
506.14,508.12, and they will train him the way they want
508.12,510.65999999999997, before he could marry their daughter.
510.66,514.58," And so he's taking him off at age eight,"
514.58,516.98," but he didn't take the other son from the other wife,"
516.98,517.82, Bekhter.
518.84,520.5600000000001, He was keeping him.
520.5600000000001,523.32, There was something about Timuchin having been lost once
523.32,526.86, and found by the Taichut and reunited with the family.
526.86,530.14, And now his father takes him off at age eight
531.0400000000001,534.38," and he was gonna take him to Erlun's family,"
534.38,535.86, but he never made it.
535.86,537.26, He stopped with another family.
537.26,539.9200000000001, It's sort of like the first family he came across
539.9599999999999,543.26," and in the words of the secret history,"
543.26,545.4799999999999, it's sort of like instant love
545.4799999999999,548.8, that there was fire in his eyes and fire in her eyes
548.8,550.88," and he saw this girl, Bekhter,"
550.88,553.5999999999999," who was about nine years old, a little older,"
553.5999999999999,556.52, and he wanted to stay there with that family
556.52,558.4799999999999, according to the story.
558.4799999999999,561.4799999999999, And so the father left him there with that family.
562.52,564.0999999999999," But on the way home,"
565.36,569.12, the father decided he saw a drinking party
569.16,570.82, and he decided to join them.
571.88,573.64, They were Tatars.
573.64,575.76, He hid his identity.
575.76,579.76," On the step, everybody kind of figures out who everybody is"
579.76,582.12, and they figured out who he was.
582.12,586.32, And supposedly they poisoned him.
586.32,589.6," He got on his horse and was able to ride back home,"
589.6,591.62, but within a few days he died.
593.72,598.72, So now Timuchin is off living with another family
600.12,603.04," and somebody comes from his family,"
603.04,606.52," family, not a relative, but a close person named Mongluk,"
606.52,608.62," comes to get him, take him back,"
610.0,612.38, and they make it through the winter.
612.38,614.02, They make it through the winter.
614.02,618.92," Mother Erlum, by now she has four sons and one daughter."
618.92,620.6, I think the daughter had already been born
620.6,622.52, or the daughter was going to be born
622.52,624.76, not too long after that.
624.76,627.32, But they make it through the winter.
627.32,630.48, The spring comes and of course the clan
630.48,632.82, is gonna move to a new camp.
632.82,634.98, They go to spring camp from winter camp.
634.98,638.48, And they have a ceremony for the ancestors
638.48,640.0400000000001," and they started the ceremony,"
640.0400000000001,641.84, but they did not tell Erlum.
643.24,645.5200000000001, And so she came and she was angry
645.5200000000001,647.72, that she had been left out.
647.72,649.2800000000001," The old women said,"
649.2800000000001,652.48, you're the one for whom we do not have to call.
652.48,654.2," We will feed you if you come,"
654.2,657.0200000000001, we do not have to take care of you.
657.02,660.5799999999999," Letting her know that as a captive woman,"
660.5799999999999,662.8, she was not a real wife in their view.
664.02,667.3," And that was really the signal that when they moved camp,"
667.3,670.18, they were not taking her with them.
670.18,673.24, And they packed up and they took her animals.
674.74,676.18," They took the animals,"
676.18,679.6999999999999, but at that moment she still had one horse for a moment.
679.6999999999999,681.0799999999999, And she jumped on the horse
681.0799999999999,683.02, and she took the banner of her husband
683.02,685.3, and she raced around the people.
685.3000000000001,686.6600000000001, And the banner after death
686.6600000000001,689.7400000000001," contains the soul of the person, Sult, it's called."
689.7400000000001,691.1600000000001, And so she raced around
691.1600000000001,692.7400000000001, and they were a little bit nervous.
692.7400000000001,694.7, And so they camped for one night
694.7,697.4200000000001, and they waited until it was dark.
698.46,699.96, Then they took off.
699.96,703.0600000000001, And this time one of the friends of the family
703.0600000000001,705.34, came running out to try to stop them
705.34,706.4200000000001, and they killed him.
707.7,709.3800000000001, And Temujin cried.
709.3800000000001,712.32," He was a little boy, eight years old."
712.32,713.46, There was nothing he could do.
713.46,714.8000000000001, He's just a little boy.
715.5400000000001,719.7800000000001," And now that family is left there on the steppe,"
719.7800000000001,722.6600000000001," four children, possibly five already."
724.1,727.1200000000001," Sotchigul, the other woman with two children,"
727.1200000000001,729.8800000000001, they're all left there to die on the steppe.
729.8800000000001,733.32," When the winter comes, they will surely all die."
734.5400000000001,736.7, How do they make it through the winter?
736.7,740.4200000000001," Mother Erlun, in the words of the Secret History,"
740.4200000000001,744.1, she pulled her hat down over her head.
744.1,746.0600000000001, She took her black stick
746.0600000000001,749.66," and she ran up and down the banks of the river,"
749.66,754.2, digging out roots to feed the gullet of her brood.
755.26,757.16, She fed them through the winter.
757.16,761.58," She found foods, digging up whatever she could,"
761.58,765.44," finding whatever she could, everything she could."
765.44,766.94," And even at this young age,"
766.94,770.58, Temujin was already beginning to go out to collect things.
771.82,772.98, He could get fish.
772.98,776.58, He could do a few tasks to help feed the family.
776.58,780.5600000000001," It was an extremely awful struggle at this point,"
780.5600000000001,783.7, but she saved every one of the children.
783.7,788.7," So Temujin's early years were marked by loneliness,"
788.82,792.46," abandonment, and struggle?"
792.46,797.1," Yes, even after this, he was kidnapped"
797.1,800.34, at one point by Tai Chiut people.
800.34,803.9," He was kidnapped and we would say,"
803.9,806.2," I think the correct word, re-enslaved."
806.2,811.2," They put him into a kank, a yoke, like a ox would wear."
812.0,815.86, And so his two arms are in it and his head is in it
815.86,818.02, and he's trapped in this thing.
818.02,821.26, And every night he would be taken to a different gear
821.26,823.6600000000001, to be guarded by that family.
823.6600000000001,826.58," And one night there was a little celebration,"
826.58,828.3000000000001," so most of the people are drinking,"
828.3000000000001,831.5000000000001, and he's left with a boy who's not very smart.
832.8000000000001,835.1200000000001," And Temujin managed to take the kank,"
835.1200000000001,838.1400000000001," the wooden yoke that he's trapped in,"
838.1400000000001,841.7800000000001, and use it as a weapon by turning it around very quickly
841.7800000000001,844.7600000000001," and hitting the boy in the head, knocking him out."
844.7600000000001,846.86, That was one of the first lessons for the Mongols
846.86,850.86, that anything that moves is a weapon.
850.86,853.6200000000001," This is gonna go on for generations,"
853.6200000000001,855.1400000000001, very important for the Mongols.
855.1400000000001,856.58," If it moves, it's a weapon."
856.6600000000001,860.22," He did that, he raced off in the night,"
860.22,863.74, and he jumped into the river to hide.
863.74,865.7, He's still got a kank on him.
865.7,867.72, He's still trapped under there.
867.72,869.26, The people are looking for him.
869.26,871.6600000000001," They come out and they're up and down the river,"
871.6600000000001,875.34," and he's hiding underneath the water for the most part,"
875.34,877.22, trying to breathe as best he can.
877.22,880.0200000000001, But it's dark and it protects him a little bit.
880.0200000000001,882.0200000000001," They give up and they say, okay, we'll come back tomorrow."
882.0200000000001,884.26, He can't possibly escape.
884.26,888.3, But the next day he knew one family
888.3,892.4," that he thought he could go to, and he was right."
892.4,895.9399999999999, He went to that family and at great risk to themselves.
895.9399999999999,899.14," They, in fact, were a captive family of the Tai Chi Yod,"
899.14,900.9399999999999," and at great risk to themselves,"
900.9399999999999,905.02, they managed to saw off the kank
905.02,907.46," and then burn it in their fire,"
907.46,910.52," and they gave him food to escape,"
910.52,913.58, and then he had to go find his family again.
913.58,918.58," So this is the kind of life that this boy, Temujin, had."
918.7,922.26," So he, just to be clear, the neck is trapped"
922.26,923.9000000000001, and the hands are trapped.
923.9000000000001,925.34, We think that's how it is.
925.34,926.98, We just have the word.
926.98,929.3000000000001, They don't say the head and the hands.
929.3000000000001,931.98," We know that his body is trapped in it,"
931.98,936.26," but from all evidence we have, it's the hands and the head."
936.26,940.5400000000001, And he's running around deeply alone with this thing.
940.5400000000001,942.82," Yes, yes."
942.82,946.22, And then he has to go out and find wherever his family is.
946.22,950.44," So this, in part, was the foundation"
950.44,952.3000000000001," of his breaking with Mongol tradition,"
952.3000000000001,956.5200000000001," that kinship is the most important thing above all else,"
956.5200000000001,958.34, because here is his life story
958.34,960.7, where he's abandoned over and over and over.
960.7,963.0600000000001, By his father's own brothers.
963.0600000000001,965.88," See, the men who kidnapped her,"
965.88,969.74, they had an obligation under Mongol law and custom
969.74,973.34, to marry her when her husband died.
973.34,974.3, They did not.
975.54,977.74, They should take care of her and her children
977.74,980.1800000000001, because her children are the children of their brother
980.1800000000001,983.5," and they count as the sons of the clan, or they should."
983.5,985.98," But no, they had all deserted, all betrayed him."
985.98,989.84, He learned very early on that you cannot trust family.
991.14,995.32," You mentioned that Genghis Khan's childhood,"
996.24,1000.08," Timujin, was marked by extreme tribal violence."
1000.08,1005.0, Can you describe sort of the state of affairs in the steppe?
1005.0,1006.44, How much violence is there?
1006.44,1008.7600000000001, How much kidnapping is there?
1008.7600000000001,1013.7600000000001, The story of Timujin is not a unique story for that time.
1014.7600000000001,1018.48," Now, as an isolated family of outcasts,"
1018.48,1022.0," of course, he's not participating in the various feuds"
1022.0,1024.68, and the raids of the people around him.
1024.68,1027.48, But they are constantly raiding in the winter.
1027.48,1029.72, And for women and for horses
1029.72,1032.6000000000001," and for any kind of valuables that they can find,"
1032.6000000000001,1036.0800000000002, it's almost like their way of getting trade goods from China
1036.0800000000002,1038.98, that one group raids the other in order to find out
1038.98,1043.16, whatever they have for textiles or for metal.
1043.16,1044.92, Mongols produced nothing.
1044.92,1048.76," They could produce felt to make their tents,"
1048.76,1050.44, but they were not craftsmen.
1050.44,1053.24, And so they had to get these items from somewhere
1053.24,1054.88, and it was through raiding.
1054.88,1059.0," And so even in the genealogy of Timujin,"
1059.0,1062.04, you see going back generation after generation
1062.04,1064.1200000000001," of women having been kidnapped,"
1064.1200000000001,1067.2, children born who are not necessarily the father's child
1067.2,1070.02, and it's unclear who the father was.
1070.02,1073.06, And all of these issues go back for a long time.
1074.3,1076.2," Later, Genghis Khan will realize,"
1076.2,1077.56," once he becomes Genghis Khan,"
1077.56,1079.64, he will realize that the true source
1079.64,1083.96, of most of the feuding on the steppe is over women.
1083.96,1087.68, And later he will outlaw the kidnapping of women
1087.68,1089.5600000000002, and the sale of women.
1089.5600000000002,1091.48," In part, not only because of what had happened"
1091.48,1096.3600000000001," to his mother, but what happened to him next in his life."
1096.3600000000001,1100.0400000000002, And this is one of the things you talk about this
1100.0400000000002,1103.96, in some ways the love story with his wife
1103.96,1107.9, was her kidnapping was the defining.
1107.9,1111.26," If you could point to one place where Genghis Khan,"
1111.26,1113.46," the conqueror was created,"
1113.46,1117.02," it's that point, his wife being kidnapped."
1117.02,1120.98," Can you describe, first of all, his love for this woman"
1120.98,1125.5800000000002, and what that means and what the kidnapping of her meant?
1125.5800000000002,1130.38," At age 16, Berta, the girl he had met"
1130.38,1133.0600000000002," when he was eight years old as she was nine,"
1133.0600000000002,1136.8000000000002, she's now 17 and she and her mother come.
1138.9,1143.9, It's hard to even imagine what it was like
1144.3400000000001,1147.42, for this 16 year old boy who has suffered
1147.42,1152.0600000000002, these indignities of life in every way that you can imagine.
1152.0600000000002,1156.0600000000002, And suddenly here is the love of his life
1156.0600000000002,1159.1000000000001," who's gonna be living with him, making him happy."
1159.1000000000001,1161.18, He has somebody who loves him.
1161.18,1163.46, It's not just his mother running around getting food
1163.46,1165.02, and trying to feed the five children
1165.1399999999999,1168.98, plus the other wife and her two children.
1168.98,1172.02," No, he has somebody who loves him."
1172.02,1174.8799999999999, And it's all the excitement that you can imagine
1174.8799999999999,1177.98, with the fire in the eyes and the excitement.
1177.98,1181.66, And then it only lasts a few months.
1182.94,1184.98, And so there they are.
1184.98,1186.46, And there's a lady visiting them.
1186.46,1187.78, We don't know exactly who she is
1187.78,1190.26, but just they called her grandmother Khoakchin.
1190.26,1192.02, Granny Khoakchin is there.
1192.06,1194.34, Granny Khoakchin is sleeping of course
1194.34,1197.3," on the floor of the gear, the tent."
1197.3,1201.1, And early in the morning she feels the vibrations
1201.1,1206.1, in the earth and she knows that horsemen are coming.
1206.18,1210.34, She rouses the family and mother Erlun is in charge.
1210.34,1212.02, Mother Erlun is still in charge
1212.02,1215.02, even though Temujin is now married.
1215.02,1217.12, She puts all of her children on a horse.
1218.0800000000002,1221.44, She takes the baby girl Temujin in her own lap.
1223.48,1228.48, She has one extra horse but she won't take Bersta
1230.44,1232.44," because she knows, she doesn't know who the men are."
1232.44,1234.4, She has no idea but they're coming.
1234.4,1235.96, They're coming in the dark.
1235.96,1237.8200000000002, They're coming for a woman.
1237.8200000000002,1239.3600000000001, They know there's a girl there.
1239.3600000000001,1242.1200000000001, This family of outcasts has acquired a wife
1242.1200000000001,1245.44, and they know that they're coming for that.
1245.44,1248.96," And so she leaves Sotchigal, the other wife."
1248.96,1251.24," She leaves this old lady, Granny Khoakchin"
1251.24,1254.68, who actually has her own cart and she leaves Bersta.
1255.68,1260.1200000000001, They pile into granny's cart and it's only an ox to pull it
1260.1200000000001,1264.48, so they don't get too far before the attackers get there.
1264.48,1266.28, But mother Erlun is right.
1266.28,1268.8, She's able to get her children off to the mountain
1268.8,1272.52," into Burghat Haldun, to the mountainside away from them"
1272.52,1275.0800000000002, because the men are so focused on this cart
1275.08,1277.12, and finding out how many women are in there
1277.12,1279.1999999999998, and who they are and all.
1279.1999999999998,1282.9199999999998, So mother Erlun saved her family
1285.08,1290.08, but at a cost suddenly Temüjin realizes
1290.84,1292.8799999999999, he has obeyed his mother
1292.8799999999999,1296.08, but he's lost the most important thing in his life.
1296.08,1299.82, And I do think this is the defining moment of his life.
1300.72,1303.58, The story began back when his mother was kidnapped
1303.58,1306.1," but now the kidnapping of his wife,"
1306.1,1308.02, I think it's to define what will he do?
1308.02,1308.8999999999999, What should he do?
1308.8999999999999,1310.6599999999999, What can he do?
1310.6599999999999,1314.3799999999999, Is he going to just resign himself to it?
1316.3,1318.6599999999999, Is he going to go out look for another wife?
1320.02,1322.78, And he decides that life is not worth living
1322.78,1324.3, without Bersta.
1324.3,1327.3799999999999, He has found something good in this life
1327.3799999999999,1330.78," and if he has to die trying to get her back,"
1330.78,1333.1799999999998, he will die trying to get her back.
1334.06,1339.06, And this is the early steps of the military genius born
1339.34,1341.6599999999999, because in order to get her back
1341.6599999999999,1346.02, requires an actual organization of troops.
1346.02,1347.3, He needs allies.
1347.3,1348.3, Allies.
1348.3,1351.6999999999998, He goes to a man who ruled the Karyat people
1351.6999999999998,1354.54, in central Mongolia on the Tol River
1354.54,1357.6599999999999, about where the capital Ulaanbaatar is today.
1357.6599999999999,1360.9399999999998, He goes there because that Vang Han is his name
1360.9399999999998,1362.1399999999999, or Torgul Han.
1362.14,1365.3400000000001, He goes there because Vang Han had been the lord
1365.3400000000001,1367.7, over his father at one point
1367.7,1369.7, and his father had gone on raids for him
1369.7,1371.8200000000002, and so he went there.
1371.8200000000002,1373.46, And actually he took a gift.
1373.46,1377.9, That's because Bersta's mother had brought a sable coat
1377.9,1382.9, as a gift for mother Erlun at that time of the marriage.
1383.5400000000002,1386.38, So he took the coat and he took it
1386.38,1390.74, and he gave it as a gift to Vang Han and asked for his help.
1390.78,1392.34," And Vang Han said, yes."
1392.34,1395.3," And he said, I will send some troops, but we need more."
1395.3,1400.14," And you need to ask Jamukha, Jamukha, Jamukha."
1400.14,1403.94, You need to ask him to come also.
1403.94,1408.54," He said, I will send a message to him to get troops."
1408.54,1410.86, You have to tell the story of Jamukha
1410.86,1414.86, because the story of Genghis Khan
1414.86,1418.5," is one of people abandoning him, being disloyal."
1418.5,1421.98," And here is a person who's not of his kin,"
1421.98,1426.98," but becomes his, in a way, brother, in a way loyal."
1427.66,1431.78," And as you've described, he's both the best thing"
1431.78,1433.82, to has happened to Genghis Khan
1433.82,1435.98, and one of the biggest challenges
1435.98,1439.02, in the later years to Genghis Khan.
1439.02,1441.02, So who was Jamukha?
1441.02,1446.02, Jamukha was a boy about the same age as Temujin
1446.34,1448.9, and his family had winter camp
1448.9,1452.78, close to where mother Erlun was living with her children.
1452.78,1455.62, And so the two boys met during the winter time.
1455.62,1458.82," In fact, they both claimed dissent from the same woman"
1458.82,1461.46," about four generations earlier or five,"
1461.46,1462.74, it's a little unclear.
1462.74,1466.46, She was Urihanghai woman who herself was kidnapped.
1466.46,1469.74, And actually Jamukha was the descendant of her
1469.74,1471.66, from the fact that she was pregnant
1471.66,1473.34, at the moment of kidnapping.
1473.34,1476.4199999999998, And then Temujin is descended from her
1476.4199999999998,1479.5," through the new kidnapper Botancar, his ancestor."
1479.5,1481.1799999999998," So they're both through the,"
1481.1799999999998,1483.1," as the Mongols would say, from the same womb."
1483.1,1487.1399999999999, They come from the same historic origin.
1487.1399999999999,1489.5," However, their lives were similar"
1489.5,1491.98," and they both lost their fathers very early,"
1491.98,1494.5, but Jamukha also lost a mother.
1494.5,1497.5, So he grew up in the household of his grandfather.
1497.5,1500.74, He had no siblings unlike Temujin
1500.74,1503.1799999999998, with whole household of siblings.
1503.22,1504.46, He grew up with his grandfather
1504.46,1506.3, and his grandfather had several wives.
1506.3,1508.42," So he grew up with a bunch of old women,"
1508.42,1512.94, which later he said he thought was an influence on his life.
1512.94,1514.6200000000001," But the two boys meet,"
1514.6200000000001,1516.3, so they come from different backgrounds
1516.3,1518.5, and Jamukha is not as deprived by any means
1518.5,1520.1000000000001," as the life of Temujin,"
1520.1000000000001,1524.1000000000001," but he has a certain emotional deprivation, I think,"
1524.1000000000001,1526.22," having not had mother, father, siblings,"
1526.22,1528.78," and he lives with these old, old people."
1528.78,1529.78," The two boys meet,"
1529.78,1532.8200000000002, they become good friends playing on the ice.
1532.82,1534.78, And so they're playing on the ice.
1534.78,1537.5," And then very early on,"
1537.5,1540.58," I think when they're about 10 or 11 years old,"
1540.58,1542.82, they decide to make a pact.
1542.82,1545.98, It's called being coming anda.
1545.98,1547.54, Anda is more than a friend.
1547.54,1550.1, A friend is like nukhr in the language.
1550.1,1552.3," And there are several different types of friendship,"
1552.3,1556.22, but anda is a friendship that's beyond a friendship.
1556.22,1558.06, It's something for life.
1558.06,1561.86, And they swore that they would be there forever
1561.8600000000001,1563.2600000000002," to protect each other,"
1563.2600000000002,1565.5800000000002, to help each other in every moment.
1565.5800000000002,1567.7, And they exchanged knuckle bones.
1567.7,1569.46, So each one of them had the knuckle bone
1569.46,1572.42," of a roebuck, a deer."
1572.42,1574.9," Knuckle bones are used in these games that they play,"
1574.9,1577.2600000000002, but it's also used to forecast the future.
1577.2600000000002,1579.8200000000002, You can roll them around and all.
1579.8200000000002,1582.14," And it's very strange on the ice,"
1582.14,1585.66," I will say in the winter time in Mongolia,"
1585.66,1589.38, it can be up to 50 degrees below zero.
1589.38,1590.8200000000002, And it doesn't really matter at that point
1590.82,1594.34, whether it's even Celsius or Fahrenheit or what it is.
1594.34,1597.5, But you slide something across the ice
1597.5,1600.26, and it's just absolutely smooth like silk.
1600.26,1602.46, And it goes on for a long way.
1602.46,1605.58," And if you put your ear down to the ice,"
1605.58,1607.74, you hear this celestial sound
1607.74,1610.46, that is unlike any sound on the earth.
1610.46,1613.78, It's just like the angels are singing under the ice.
1613.78,1617.06," So once they've sworn this relationship of anda,"
1617.06,1619.1799999999998," then a couple of years later, they swear it again,"
1619.18,1621.3400000000001, but this time they're slightly older boys
1621.3400000000001,1622.74, and they have bows and arrows.
1622.74,1625.54, And so they exchange arrows with each other.
1625.54,1628.94," In fact, the text is very specific"
1628.94,1631.54," that Jamukha took the horn,"
1631.54,1634.0600000000002, cut it off of a two-year-old calf
1635.02,1637.42, and he whittled it down.
1637.42,1639.46, And then he drilled a hole into it
1639.46,1642.02," in order to make a whistling arrow,"
1642.02,1645.38, which is used for several purposes among the Mongols.
1645.38,1648.1000000000001," It's used for signals for one thing,"
1648.1000000000001,1649.7800000000002, from one person to another.
1649.7800000000002,1651.0200000000002," But also when you're hunting,"
1651.0200000000002,1654.46," if you want to move the animal in a certain direction,"
1654.46,1657.9800000000002, you send a whistling arrow in the opposite direction
1657.9800000000002,1659.0200000000002, to make the animal move.
1659.0200000000002,1660.22, So it had a lot of uses.
1660.22,1662.8600000000001, So the boys had exchanged roebuck knuckles.
1662.8600000000001,1664.3000000000002, This time they exchange.
1664.3000000000002,1666.66, And so they had been close friends.
1666.66,1667.7400000000002," And Vang Han said,"
1667.7400000000002,1672.42," okay, Jamukha should raise some troops and go with you."
