start,end,text,speaker,sentiment_score,sentiment_confidence,hook_score,hook_confidence
347.9,350.26, and it's the childhood that created him.,SPEAKER_00,5,0.5999,,
350.26,354.08," And it's that episode that was before he was born,",SPEAKER_00,5,0.5204,,
354.08,357.62, but all the things that happened throughout his childhood,SPEAKER_00,4,0.4024,,
357.62,360.5, made him into the man that he became.,SPEAKER_00,5,0.6412,,
360.5,365.5, And so he was now suddenly this unusual situation,SPEAKER_00,3,0.2733,,
367.46,370.62, was created where a child is going to be born,SPEAKER_00,4,0.3299,,
370.62,373.62, to a kidnapped woman who is being held,SPEAKER_00,4,0.3117,,
373.62,375.82," by strange people, the Mongols.",SPEAKER_00,5,0.2318,,
375.82,377.18, They were not her people.,SPEAKER_00,1,0.3989,,
378.78,382.62, And he already had another wife or husband.,SPEAKER_00,1,0.2508,,
382.62,384.26, He had a wife named Sochigul.,SPEAKER_00,3,0.2691,,
384.26,386.28, He had at that time already one son.,SPEAKER_00,3,0.299,,
386.28,388.7, Later he had another son with her.,SPEAKER_00,3,0.3591,,
388.7,390.94, It was a very odd situation.,SPEAKER_00,3,0.3996,,
390.94,394.48," And in fact, the father, Yasuke wasn't even there",SPEAKER_00,2,0.3273,,
394.48,396.42, when Temujin was born.,SPEAKER_00,4,0.2308,,
396.42,398.7, He was off fighting the Tatars,SPEAKER_00,1,0.3435,,
398.7,400.86, and doing this campaign against the Tatars.,SPEAKER_00,5,0.6052,,
400.86,403.26, He killed two Tatars.,SPEAKER_00,1,0.435,,
403.26,405.8," One of them was named Temujin Uge,",SPEAKER_00,1,0.273,,
405.8,408.94," which is sort of person of iron,",SPEAKER_00,3,0.3223,,
408.94,410.8, is what it means from the Turkic.,SPEAKER_00,5,0.4141,,
411.66,414.6," But today, a part of also Mongolian language.",SPEAKER_00,3,0.3786,,
415.86,418.5," So he came back, he had a baby,",SPEAKER_00,2,0.3219,,
418.5,421.52," and he decided to name him Temujin,",SPEAKER_00,1,0.2325,,
421.52,424.46, the person of iron or iron man we might call him.,SPEAKER_00,1,0.2453,,
424.46,425.8, After the man he killed.,SPEAKER_00,5,0.3829,,
425.8,427.48, After the man he killed.,SPEAKER_00,5,0.3829,,
427.48,430.46, So he's a kidnapped mother.,SPEAKER_00,3,0.4896,,
430.46,433.4, She's a second wife now.,SPEAKER_00,4,0.295,,
433.4,436.88," Not a legal wife, but just a second kidnapped wife.",SPEAKER_00,3,0.3232,,
436.88,441.88, And he's named for someone his father just killed.,SPEAKER_00,5,0.3196,,
442.0,444.52, It was not auspicious beginning.,SPEAKER_00,2,0.3671,,
444.52,449.34," And in fact, just episode after episode in his childhood",SPEAKER_00,4,0.2547,,
449.34,450.9, was inauspicious.,SPEAKER_00,1,0.5907,,
451.84,454.6, The father and mother moved camp one time,SPEAKER_00,1,0.2474,,
454.6,455.6, when he was quite young.,SPEAKER_00,3,0.3328,,
455.6,459.42, And somehow they overlooked him and forgot him.,SPEAKER_00,2,0.3309,,
459.42,461.48, He was left behind.,SPEAKER_00,3,0.2404,,
461.48,462.78, So here's this young child.,SPEAKER_00,3,0.3546,,
462.78,463.62," We don't know what age,",SPEAKER_00,3,0.3541,,
463.62,466.22," but it could be around four or five, I think.",SPEAKER_00,3,0.633,,
466.22,467.7000000000001, He was left behind.,SPEAKER_00,3,0.2404,,
467.7000000000001,470.7600000000001," And as it turned out, some other people,",SPEAKER_00,2,0.2671,,
470.7600000000001,474.02, the Taichut found him and then they kept him for a while.,SPEAKER_00,3,0.3551,,
474.02,478.14, And eventually he was reunited with his father and mother.,SPEAKER_00,4,0.4182,,
478.14,483.14, And it's very odd to me that I never have any inkling,SPEAKER_00,3,0.4295,,
484.04,487.62, of a spark of relationship much between the father,SPEAKER_00,4,0.3882,,
487.62,488.6, and the son.,SPEAKER_00,5,0.4628,,
490.1,494.14," Because then when Timuchin is eight years old,",SPEAKER_00,3,0.2462,,
494.14,497.7, his father decides to take him off to find a wife.,SPEAKER_00,3,0.3753,,
497.7,500.12, Which finding a wife in the Mongolian terms means,SPEAKER_00,3,0.2576,,
500.12,501.74," you give the child to that family,",SPEAKER_00,5,0.422,,
501.74,503.54, or you give the boy to that family,SPEAKER_00,1,0.2284,,
503.54,506.14, and he will live with them and they will raise him up,SPEAKER_00,5,0.6134,,
506.14,508.12, and they will train him the way they want,SPEAKER_00,5,0.5572,,
508.12,510.66, before he could marry their daughter.,SPEAKER_00,1,0.3033,,
510.66,514.58," And so he's taking him off at age eight,",SPEAKER_00,3,0.3375,,
514.58,516.98," but he didn't take the other son from the other wife,",SPEAKER_00,3,0.3905,,
516.98,517.82, Bekhter.,SPEAKER_00,5,0.4131,,
518.84,520.5600000000001, He was keeping him.,SPEAKER_00,4,0.3607,,
520.5600000000001,523.32, There was something about Timuchin having been lost once,SPEAKER_00,3,0.3147,,
523.32,526.86, and found by the Taichut and reunited with the family.,SPEAKER_00,5,0.4315,,
526.86,530.14, And now his father takes him off at age eight,SPEAKER_00,3,0.2425,,
531.0400000000001,534.38," and he was gonna take him to Erlun's family,",SPEAKER_00,3,0.2294,,
534.38,535.86, but he never made it.,SPEAKER_00,2,0.3865,,
535.86,537.26, He stopped with another family.,SPEAKER_00,1,0.3576,,
537.26,539.9200000000001, It's sort of like the first family he came across,SPEAKER_00,3,0.4856,,
539.9599999999999,543.26," and in the words of the secret history,",SPEAKER_00,5,0.6054,,
543.26,545.4799999999999, it's sort of like instant love,SPEAKER_00,5,0.4992,,
545.4799999999999,548.8, that there was fire in his eyes and fire in her eyes,SPEAKER_00,1,0.3565,,
548.8,550.88," and he saw this girl, Bekhter,",SPEAKER_00,5,0.5714,,
550.88,553.5999999999999," who was about nine years old, a little older,",SPEAKER_00,3,0.3494,,
553.5999999999999,556.52, and he wanted to stay there with that family,SPEAKER_00,5,0.2653,,
556.52,558.4799999999999, according to the story.,SPEAKER_00,4,0.3748,,
558.4799999999999,561.4799999999999, And so the father left him there with that family.,SPEAKER_00,5,0.2539,,
562.52,564.0999999999999," But on the way home,",SPEAKER_00,3,0.391,,
565.36,569.12, the father decided he saw a drinking party,SPEAKER_00,3,0.28,,
569.16,570.82, and he decided to join them.,SPEAKER_00,5,0.3079,,
571.88,573.64, They were Tatars.,SPEAKER_00,1,0.3823,,
573.64,575.76, He hid his identity.,SPEAKER_00,1,0.3627,,
575.76,579.76," On the step, everybody kind of figures out who everybody is",SPEAKER_00,3,0.4129,,
579.76,582.12, and they figured out who he was.,SPEAKER_00,4,0.3205,,
582.12,586.32, And supposedly they poisoned him.,SPEAKER_00,1,0.551,,
586.32,589.6," He got on his horse and was able to ride back home,",SPEAKER_00,4,0.3901,,
589.6,591.62, but within a few days he died.,SPEAKER_00,2,0.3925,,
593.72,598.72, So now Timuchin is off living with another family,SPEAKER_00,3,0.3371,,
600.12,603.04," and somebody comes from his family,",SPEAKER_00,1,0.2514,,
603.04,606.52," family, not a relative, but a close person named Mongluk,",SPEAKER_00,3,0.4214,,
606.52,608.62," comes to get him, take him back,",SPEAKER_00,5,0.2617,,
610.0,612.38, and they make it through the winter.,SPEAKER_00,4,0.4433,,
612.38,614.02, They make it through the winter.,SPEAKER_00,4,0.4531,,
614.02,618.92," Mother Erlum, by now she has four sons and one daughter.",SPEAKER_00,4,0.3117,,
618.92,620.6, I think the daughter had already been born,SPEAKER_00,3,0.365,,
620.6,622.52, or the daughter was going to be born,SPEAKER_00,3,0.3184,,
622.52,624.76, not too long after that.,SPEAKER_00,3,0.4732,,
624.76,627.32, But they make it through the winter.,SPEAKER_00,3,0.5521,,
627.32,630.48, The spring comes and of course the clan,SPEAKER_00,4,0.3335,,
630.48,632.82, is gonna move to a new camp.,SPEAKER_00,4,0.2343,,
632.82,634.98, They go to spring camp from winter camp.,SPEAKER_00,4,0.3632,,
634.98,638.48, And they have a ceremony for the ancestors,SPEAKER_00,5,0.4865,,
638.48,640.0400000000001," and they started the ceremony,",SPEAKER_00,5,0.5869,,
640.0400000000001,641.84, but they did not tell Erlum.,SPEAKER_00,3,0.3887,,
643.24,645.5200000000001, And so she came and she was angry,SPEAKER_00,1,0.3403,,
645.5200000000001,647.72, that she had been left out.,SPEAKER_00,2,0.3006,,
647.72,649.2800000000001," The old women said,",SPEAKER_00,3,0.262,,
649.2800000000001,652.48, you're the one for whom we do not have to call.,SPEAKER_00,5,0.5105,,
652.48,654.2," We will feed you if you come,",SPEAKER_00,5,0.3908,,
654.2,657.0200000000001, we do not have to take care of you.,SPEAKER_00,3,0.2663,,
657.02,660.5799999999999," Letting her know that as a captive woman,",SPEAKER_00,5,0.4351,,
660.5799999999999,662.8, she was not a real wife in their view.,SPEAKER_00,2,0.4442,,
664.02,667.3," And that was really the signal that when they moved camp,",SPEAKER_00,5,0.2985,,
667.3,670.18, they were not taking her with them.,SPEAKER_00,2,0.4108,,
670.18,673.24, And they packed up and they took her animals.,SPEAKER_00,5,0.5694,,
674.74,676.18," They took the animals,",SPEAKER_00,4,0.3215,,
676.18,679.6999999999999, but at that moment she still had one horse for a moment.,SPEAKER_00,3,0.4589,,
679.6999999999999,681.0799999999999, And she jumped on the horse,SPEAKER_00,1,0.5152,,
681.0799999999999,683.02, and she took the banner of her husband,SPEAKER_00,5,0.3696,,
683.02,685.3, and she raced around the people.,SPEAKER_00,5,0.3672,,
685.3000000000001,686.6600000000001, And the banner after death,SPEAKER_00,5,0.358,,
686.6600000000001,689.7400000000001," contains the soul of the person, Sult, it's called.",SPEAKER_00,5,0.3992,,
689.7400000000001,691.1600000000001, And so she raced around,SPEAKER_00,3,0.3294,,
691.1600000000001,692.7400000000001, and they were a little bit nervous.,SPEAKER_00,3,0.5122,,
692.7400000000001,694.7, And so they camped for one night,SPEAKER_00,3,0.3109,,
694.7,697.4200000000001, and they waited until it was dark.,SPEAKER_00,2,0.2648,,
698.46,699.96, Then they took off.,SPEAKER_00,2,0.4067,,
699.96,703.0600000000001, And this time one of the friends of the family,SPEAKER_00,5,0.5092,,
703.0600000000001,705.34, came running out to try to stop them,SPEAKER_00,1,0.4511,,
705.34,706.4200000000001, and they killed him.,SPEAKER_00,1,0.4109,,
707.7,709.3800000000001, And Temujin cried.,SPEAKER_00,1,0.3338,,
709.3800000000001,712.32," He was a little boy, eight years old.",SPEAKER_00,4,0.304,,
712.32,713.46, There was nothing he could do.,SPEAKER_00,2,0.3763,,
713.46,714.8000000000001, He's just a little boy.,SPEAKER_00,3,0.3232,,
715.5400000000001,719.7800000000001," And now that family is left there on the steppe,",SPEAKER_00,5,0.4247,,
719.7800000000001,722.6600000000001," four children, possibly five already.",SPEAKER_00,3,0.35,,
724.1,727.1200000000001," Sotchigul, the other woman with two children,",SPEAKER_00,3,0.2875,,
727.1200000000001,729.8800000000001, they're all left there to die on the steppe.,SPEAKER_00,1,0.2765,,
729.8800000000001,733.32," When the winter comes, they will surely all die.",SPEAKER_00,3,0.3414,,
734.5400000000001,736.7, How do they make it through the winter?,SPEAKER_01,3,0.2947,,
736.7,740.4200000000001," Mother Erlun, in the words of the Secret History,",SPEAKER_00,5,0.5094,,
740.4200000000001,744.1, she pulled her hat down over her head.,SPEAKER_00,1,0.436,,
744.1,746.0600000000001, She took her black stick,SPEAKER_00,1,0.2437,,
746.0600000000001,749.66," and she ran up and down the banks of the river,",SPEAKER_00,1,0.2241,,
749.66,754.2, digging out roots to feed the gullet of her brood.,SPEAKER_00,4,0.4181,,
755.26,757.16, She fed them through the winter.,SPEAKER_00,4,0.3915,,
757.16,761.58," She found foods, digging up whatever she could,",SPEAKER_00,4,0.3276,,
761.58,765.44," finding whatever she could, everything she could.",SPEAKER_00,5,0.6681,,
765.44,766.94," And even at this young age,",SPEAKER_00,5,0.6993,,
766.94,770.58, Temujin was already beginning to go out to collect things.,SPEAKER_00,3,0.3137,,
771.82,772.98, He could get fish.,SPEAKER_00,3,0.3482,,
772.98,776.58, He could do a few tasks to help feed the family.,SPEAKER_00,3,0.4814,,
776.58,780.5600000000001," It was an extremely awful struggle at this point,",SPEAKER_00,1,0.8384,,
780.5600000000001,783.7, but she saved every one of the children.,SPEAKER_00,4,0.2869,,
783.7,788.7," So Temujin's early years were marked by loneliness,",SPEAKER_01,3,0.3867,,
788.82,792.46," abandonment, and struggle?",SPEAKER_01,1,0.4397,,
792.46,797.1," Yes, even after this, he was kidnapped",SPEAKER_00,1,0.2842,,
797.1,800.34, at one point by Tai Chiut people.,SPEAKER_00,1,0.4593,,
800.34,803.9," He was kidnapped and we would say,",SPEAKER_00,1,0.2837,,
803.9,806.2," I think the correct word, re-enslaved.",SPEAKER_00,5,0.3453,,
806.2,811.2," They put him into a kank, a yoke, like a ox would wear.",SPEAKER_00,2,0.2923,,
812.0,815.86, And so his two arms are in it and his head is in it,SPEAKER_00,3,0.3551,,
815.86,818.02, and he's trapped in this thing.,SPEAKER_00,5,0.4457,,
818.02,821.26, And every night he would be taken to a different gear,SPEAKER_00,1,0.3033,,
821.26,823.6600000000001, to be guarded by that family.,SPEAKER_00,5,0.4777,,
823.6600000000001,826.58," And one night there was a little celebration,",SPEAKER_00,4,0.2793,,
826.58,828.3000000000001," so most of the people are drinking,",SPEAKER_00,3,0.4556,,
828.3000000000001,831.5000000000001, and he's left with a boy who's not very smart.,SPEAKER_00,3,0.4275,,
832.8000000000001,835.1200000000001," And Temujin managed to take the kank,",SPEAKER_00,3,0.2835,,
835.1200000000001,838.1400000000001," the wooden yoke that he's trapped in,",SPEAKER_00,4,0.284,,
838.1400000000001,841.7800000000001, and use it as a weapon by turning it around very quickly,SPEAKER_00,5,0.5258,,
841.7800000000001,844.7600000000001," and hitting the boy in the head, knocking him out.",SPEAKER_00,1,0.5428,,
844.7600000000001,846.86, That was one of the first lessons for the Mongols,SPEAKER_00,3,0.2567,,
846.86,850.86, that anything that moves is a weapon.,SPEAKER_00,1,0.28,,
850.86,853.6200000000001," This is gonna go on for generations,",SPEAKER_00,5,0.5513,,
853.6200000000001,855.1400000000001, very important for the Mongols.,SPEAKER_00,5,0.667,,
855.1400000000001,856.58," If it moves, it's a weapon.",SPEAKER_00,3,0.3693,,
856.6600000000001,860.22," He did that, he raced off in the night,",SPEAKER_00,3,0.375,,
860.22,863.74, and he jumped into the river to hide.,SPEAKER_00,1,0.3993,,
863.74,865.7, He's still got a kank on him.,SPEAKER_00,3,0.3657,,
865.7,867.72, He's still trapped under there.,SPEAKER_00,3,0.332,,
867.72,869.26, The people are looking for him.,SPEAKER_00,4,0.3082,,
869.26,871.6600000000001," They come out and they're up and down the river,",SPEAKER_00,4,0.2711,,
871.6600000000001,875.34," and he's hiding underneath the water for the most part,",SPEAKER_00,3,0.3687,,
875.34,877.22, trying to breathe as best he can.,SPEAKER_00,5,0.5425,,
877.22,880.0200000000001, But it's dark and it protects him a little bit.,SPEAKER_00,3,0.5344,,
880.0200000000001,882.0200000000001," They give up and they say, okay, we'll come back tomorrow.",SPEAKER_00,3,0.3794,,
882.0200000000001,884.26, He can't possibly escape.,SPEAKER_00,1,0.2828,,
884.26,888.3, But the next day he knew one family,SPEAKER_00,3,0.2918,,
888.3,892.4," that he thought he could go to, and he was right.",SPEAKER_00,4,0.2738,,
892.4,895.9399999999999, He went to that family and at great risk to themselves.,SPEAKER_00,5,0.3249,,
895.9399999999999,899.14," They, in fact, were a captive family of the Tai Chi Yod,",SPEAKER_00,3,0.2481,,
899.14,900.94," and at great risk to themselves,",SPEAKER_00,5,0.3489,,
900.94,905.02, they managed to saw off the kank,SPEAKER_00,3,0.3031,,
905.02,907.46," and then burn it in their fire,",SPEAKER_00,1,0.2819,,
907.46,910.52," and they gave him food to escape,",SPEAKER_00,1,0.3763,,
910.52,913.58, and then he had to go find his family again.,SPEAKER_00,3,0.3159,,
913.58,918.58," So this is the kind of life that this boy, Temujin, had.",SPEAKER_00,5,0.3957,,
918.7,922.26," So he, just to be clear, the neck is trapped",SPEAKER_01,2,0.4157,,
922.26,923.9, and the hands are trapped.,SPEAKER_01,1,0.4726,,
923.9,925.34, We think that's how it is.,SPEAKER_01,4,0.3143,,
925.34,926.98, We just have the word.,SPEAKER_00,5,0.4589,,
926.98,929.3, They don't say the head and the hands.,SPEAKER_00,1,0.372,,
929.3,931.98," We know that his body is trapped in it,",SPEAKER_00,2,0.2788,,
931.98,936.26," but from all evidence we have, it's the hands and the head.",SPEAKER_00,3,0.4544,,
936.26,940.54, And he's running around deeply alone with this thing.,SPEAKER_00,5,0.6862,,
940.54,942.82," Yes, yes.",SPEAKER_01,5,0.3614,,
942.82,946.22, And then he has to go out and find wherever his family is.,SPEAKER_00,4,0.3466,,
946.22,950.44," So this, in part, was the foundation",SPEAKER_00,4,0.3359,,
950.44,952.3," of his breaking with Mongol tradition,",SPEAKER_01,5,0.4048,,
952.3,956.52," that kinship is the most important thing above all else,",SPEAKER_01,5,0.7241,,
956.52,958.34, because here is his life story,SPEAKER_01,5,0.405,,
958.34,960.7, where he's abandoned over and over and over.,SPEAKER_01,1,0.2936,,
960.7,963.06, By his father's own brothers.,SPEAKER_00,4,0.3964,,
963.06,965.88," See, the men who kidnapped her,",SPEAKER_00,5,0.3144,,
965.88,969.74, they had an obligation under Mongol law and custom,SPEAKER_00,3,0.2646,,
969.74,973.34, to marry her when her husband died.,SPEAKER_00,5,0.3273,,
973.34,974.3, They did not.,SPEAKER_00,1,0.4928,,
975.54,977.74, They should take care of her and her children,SPEAKER_00,3,0.3275,,
977.74,980.18, because her children are the children of their brother,SPEAKER_00,4,0.3291,,
980.18,983.5," and they count as the sons of the clan, or they should.",SPEAKER_00,5,0.31,,
983.5,985.98," But no, they had all deserted, all betrayed him.",SPEAKER_00,1,0.5223,,
985.98,989.84, He learned very early on that you cannot trust family.,SPEAKER_00,2,0.2862,,
991.14,995.32," You mentioned that Genghis Khan's childhood,",SPEAKER_01,4,0.264,,
996.24,1000.08," Timujin, was marked by extreme tribal violence.",SPEAKER_01,1,0.413,,
1000.08,1005.0, Can you describe sort of the state of affairs in the steppe?,SPEAKER_01,3,0.3657,,
